rxn,Ea
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15]>>[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1=[C:6]([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]1([H:16])[H:20])[H:15],94.9768
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15]>>[C:0]1([H:10])([H:16])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15],132.6328
[C:0](=[C:1]([C:2](=[C:3]([C:4](=[C:5]1[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1([H:19])[H:20])[H:15])[H:14])[H:13])[H:12])([H:10])[H:11]>>[C:0]1([H:11])=[C:1]([H:12])[C:2]([H:13])=[C:3]([H:14])[C:4]([H:10])([H:15])[C:5]12[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]2([H:19])[H:20],134.7248
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2=[C:4]([H:14])[C:5]([H:15])=[C:6]([H:16])[C:7]([H:17])([H:18])[C:8]2=[C:9]1[H:19].[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2([H:20])[C:4]([H:14])[C:5]([H:15])=[C:6]([H:16])[C:7]([H:17])([H:18])[C:8]2=[C:9]1[H:19],12.1336
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])=[C:3]2[C:4]([H:13])=[C:5]([H:14])[C:6]([H:15])([H:16])[C:7]2([H:17])[C:8]([H:18])=[C:9]1[H:19].[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])[C:3]2([H:20])[C:4]([H:13])=[C:5]([H:14])[C:6]([H:15])([H:16])[C:7]2([H:17])[C:8]([H:18])=[C:9]1[H:19],7.9496
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])=[C:3]2[C:4]([H:13])=[C:5]([H:14])[C:6]([H:15])([H:16])[C:7]2([H:17])[C:8]([H:18])=[C:9]1[H:19].[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])=[C:3]2[C:4]([H:13])=[C:5]([H:14])[C:6]([H:15])([H:16])[C:7]2([H:17])[C:8]([H:18])([H:20])[C:9]1[H:19],5.8576
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]23[C:5]([H:15])([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]2([H:19])[C:9]13[H:20]>>[C:0]1([H:10])=[C:9]([H:20])[C:8]2([H:19])[C:4]([C:3]([H:13])([H:14])[C:2]([H:12])=[C:1]1[H:11])[C:5]([H:15])([H:16])[C:6]([H:17])=[C:7]2[H:18],76.1488
[C:0]([C:1]1([H:13])[C:2]([H:14])=[C:3]([H:15])[C:4]([H:16])=[C:5]2[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])[C:9]12[H:20])([H:10])([H:11])[H:12]>>[C:0]([C:1]1([H:13])[C:2]([H:14])=[C:3]([H:15])[C:4]([H:16])=[C:5]2[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])([H:20])[C:9]12)([H:10])([H:11])[H:12],109.2024
[C:0]1([H:9])=[C:1]([H:10])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1([H:15])[H:16].[C:17]([H:18])([H:19])[H:20]>>[C:0]1([H:9])=[C:1]([H:10])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1[H:16].[H:15][C:17]([H:18])([H:19])[H:20],58.2013
[C:0]1([H:9])=[C:1]([H:10])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1([H:15])[H:16].[C:17]([H:18])([H:19])[H:20]>>[C:0]1([H:9])=[C:1]([H:10])[C:2]2=[C:3]([H:11])[C:4]([H:12])=[C:5]([H:13])[C:6]([H:14])([C:17]([H:18])([H:19])[H:20])[C:7]2[C:8]1([H:15])[H:16],35.9824
