,err,model_unc,data_unc,unc,g,pred,index
[C:1](=[C:2]([O:3][H:10])[H:6])([H:4])[H:5].[C:7](=[C:8]=[O:9])([H:11])[H:12]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]=[O:9])([H:10])([H:11])[H:12],37.645622452786256,1.7398406516274474,4.772470087352828,5.079716156217091,94.73397797162761,57.088355518841354,47.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]=[O:9])([H:10])([H:11])[H:12]>>[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:8]([C:7]([H:10])([H:11])[H:12])=[O:9],16.60195760363363,1.5210774557081097,3.9766103122839414,4.257593945179184,41.05522802166524,57.65718562529887,48.0
[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:8]([C:7]([H:10])([H:11])[H:12])=[O:9]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]=[O:9])([H:10])([H:11])[H:12],9.84845815914268,1.7430428026380504,7.7994721067693105,7.991868577254059,89.95001042762306,80.10155226848038,49.0
[C:1]([O:2])([H:3])([H:4])[H:5].[C:6](=[C:7]([O:8])[H:11])([H:9])[H:10]>>[C:1](=[O:2])([H:4])[H:5].[H:3][O:8][C:7](=[C:6]([H:9])[H:10])[H:11],8.052503575783966,3.026607516169849,3.6457553357749712,4.738342012272594,51.70237726729829,59.754880843082255,50.0
[C:1](=[O:2])([H:4])[H:5].[H:3][O:8][C:7](=[C:6]([H:9])[H:10])[H:11]>>[C:1]([O:2])([H:3])([H:4])[H:5].[C:6](=[C:7]([O:8])[H:11])([H:9])[H:10],55.92909528122963,1.6123447411900893,5.598103413536341,5.8256688365449145,107.51316767174285,51.58407239051322,51.0
[C:1]([O:2])([H:3])([H:4])[H:5].[C:6](=[C:7]([O:8])[H:9])([H:10])[H:11]>>[C:1](=[O:2])([H:4])[H:5].[H:3][C:6]([C:7](=[O:8])[H:9])([H:10])[H:11],10.464558400366421,2.664660056121107,5.009562427520548,5.674163280159719,38.89681807573652,49.36137647610294,52.0
[C:1](=[O:2])([H:4])[H:5].[H:3][C:6]([C:7](=[O:8])[H:9])([H:10])[H:11]>>[C:1]([O:2])([H:3])([H:4])[H:5].[C:6](=[C:7]([O:8])[H:9])([H:10])[H:11],47.92190072915015,1.9256376997997717,5.143658468971595,5.492294875215038,106.25868783850456,58.336787109354404,53.0
[C:5](=[C:6]([O:7])[H:10])([H:8])[H:9].[O:1]=[C:2][O:3][H:4]>>[H:4][O:7][C:6](=[C:5]([H:8])[H:9])[H:10].[O:1]=[C:2]=[O:3],3.9707165185640534,1.7602174855891457,2.7669793772336857,3.2794116043293937,39.070291023963364,35.09957450539931,54.0
[H:4][O:7][C:6](=[C:5]([H:8])[H:9])[H:10].[O:1]=[C:2]=[O:3]>>[C:5](=[C:6]([O:7])[H:10])([H:8])[H:9].[O:1]=[C:2][O:3][H:4],55.93993793331828,2.5484008092918624,4.960067011617168,5.5764335775235665,113.13722834634245,57.19729041302418,55.0
[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[O:7]=[C:8][O:9][H:10]>>[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:10].[O:7]=[C:8]=[O:9],12.624455961413673,1.0905966773258733,2.7661076041832358,2.973340274928949,53.28721207563649,40.662756114222816,56.0
[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:10].[O:7]=[C:8]=[O:9]>>[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[O:7]=[C:8][O:9][H:10],68.5232376593793,2.2975866172711896,3.8828307963102335,4.511682530568705,139.71299011737574,71.18975245799643,57.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8](=[O:9])[O:10][C:11]([H:14])([H:15])[H:16])([H:12])[H:13]>>[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:7]([C:8](=[O:9])[O:10][C:11]([H:14])([H:15])[H:16])([H:12])[H:13],22.98308067392727,1.6749429683468713,4.325432266594503,4.638404708529808,40.27589250233723,63.2589731762645,58.0
[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:7]([C:8](=[O:9])[O:10][C:11]([H:14])([H:15])[H:16])([H:12])[H:13]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8](=[O:9])[O:10][C:11]([H:14])([H:15])[H:16])([H:12])[H:13],18.579951352765008,1.4547968629105097,5.294628571273318,5.490858368240615,97.54786058468744,78.96790923192243,59.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([H:12])[H:13])([H:9])([H:10])[H:11]>>[C:1](=[C:2]([O:3][H:9])[H:6])([H:4])[H:5].[C:7](=[C:8]([H:12])[H:13])([H:10])[H:11],3.5088948829845776,2.0928541406360184,4.562541488468013,5.019643741140325,59.94181852717884,56.43292364419426,60.0
[C:1](=[C:2]([O:3][H:9])[H:6])([H:4])[H:5].[C:7](=[C:8]([H:12])[H:13])([H:10])[H:11]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([H:12])[H:13])([H:9])([H:10])[H:11],43.298475964789226,1.2381703994518118,4.912697265269154,5.066326120401418,95.73047055749339,52.431994592704164,61.0
[C:1]([C:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8](=[C:9]([O:10])[H:11])([H:12])[H:13]>>[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[H:5][C:8]([C:9](=[O:10])[H:11])([H:12])[H:13],2.4740624835138476,1.57921735428927,3.097927922051229,3.4772237291139385,48.78465378773399,46.31059130422014,62.0
[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[H:5][C:8]([C:9](=[O:10])[H:11])([H:12])[H:13]>>[C:1]([C:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8](=[C:9]([O:10])[H:11])([H:12])[H:13],37.77748341575091,2.060841620107707,4.440719270588041,4.895615979970258,97.80476352383266,60.027280108081754,63.0
